State,2020,2018,2016
Alabama,60.5,50.7,57.4
Alaska,63.8,52.8,61.3
Arizona,71.9,58.9,60.4
Arkansas,54,42.6,58.7
California,65.1,51.9,57.9
Colorado,67.6,58.1,69.5
Connecticut,66.6,54,63.9
Delaware,67.7,51.8,62.3
District of Columbia,84,61.1,74.3
Florida,62.1,52.6,59.5
Georgia,66.1,55.9,60.2
Hawaii,64.3,44,47.3
Idaho,64.9,47.9,62.1
Illinois,68.4,53,63.8
Indiana,61,49.3,58.3
Iowa,70.5,59.6,63.4
Kansas,65.7,56.9,61.3
Kentucky,68.5,53.8,57
Louisiana,61.9,49.8,61.6
Maine,71.3,65.6,72.7
Maryland,73.6,54.2,65.8
Massachusetts,66.3,55.5,66.7
Michigan,66.9,59.5,64.3
Minnesota,77.9,63,68.7
Mississippi,70.3,54.2,67.7
Missouri,66.8,55,64.8
Montana,73.5,63.8,65.9
Nebraska,65.2,50.8,66.8
Nevada,61.5,48.7,60.5
New Hampshire,74,56.2,69
New Jersey,78.3,54,61.5
New Mexico,62.6,48.1,54.8
New York,64.7,49.5,57.2
North Carolina,64.7,52.4,67.5
North Dakota,67.1,61.9,64.2
Ohio,70.1,52.5,63.6
Oklahoma,58.3,49.4,56.6
Oregon,74.1,61.1,66.3
Pennsylvania,70.2,54.6,62.6
Rhode Island ,66.3,51.6,60.6
South Carolina,63.4,48.7,62.1
South Dakota,58.5,51.9,59.1
Tennessee,66.4,49.6,54
Texas,63.9,48.4,55.4
Utah ,63.6,57.6,62.7
Vermont,68.4,54.9,62.5
Virginia,71.5,57.5,68.2
Washington,71.5,61.9,66.3
West Virginia,56.1,44.1,50.8
Wisconsin,73.6,64.6,70.5
Wyoming,65.5,52.1,64.8
